Serial Number,ID,Public/Private,System,Name,Eng. Name,Postal Code,Latitude,Longitude,Address,City,County,Neighborhood,County (zh)
82,1034,Private,技專校院,弘光科技大學,Hungkuang University,43302,24.21745,120.58254,"No. 1018, Sec 6, Taiwan Blvd., Shalu District, Taichung City, 433, Taiwan",Taichung City,Taichung City,Shalu District,臺中市
83,1035,Private,一般大學,中國醫藥大學,CHINA MEDICAL UNIVERSITY,40402,24.15634,120.6811,"No. 91, Xue Shi Rd., North District, Taichung City, 404, Taiwan",Taichung City,Taichung City,North District,臺中市
84,1036,Private,技專校院,健行學校財團法人健行科技大學,Chien Hsin University of Science and Technology,32097,24.94758,121.22853,"No. 229, Jian Xing Rd., Zhongli District, Taoyuan City, 320, Taiwan",Taoyuan City,Taoyuan City,Zhongli District,桃園市
85,1037,Private,技專校院,正修學校財團法人正修科技大學,Cheng Shiu University,83347,22.65078,120.34965,"No. 840, Cheng Qing Rd., Niaosong District, Kaohsiung City, 833, Taiwan",Kaohsiung City,Kaohsiung City,Niaosong District,高雄市
86,1038,Private,技專校院,萬能學校財團法人萬能科技大學,Vanung University,32061,24.99059,121.23243,"No. 1, Wan Neng Rd., Zhongli District, Taoyuan City, 320, Taiwan",Taoyuan City,Taoyuan City,Zhongli District,桃園市
87,1039,Private,一般大學,玄奘大學,Hsuan Chuang University,30092,24.77571,120.94339,"No. 48, Xuan Zang Rd., Siangshan District, Hsinchu City, 300, Taiwan",Hsinchu City,Hsinchu City,Siangshan District,新竹市
88,1040,Private,技專校院,建國科技大學,Chienkuo Technology University,50094,24.06659,120.54933,"No. 1, Jie Shou N. Rd., Jian Bao Vil., Changhua City, Changhua County 500, Taiwan",Changhua City,Changhua County,Jian Bao Vil.,彰化縣
89,1041,Private,技專校院,明志科技大學,Ming Chi University of Technology,24301,25.04059,121.42225,"No. 84, Gong Zhuan Rd., Taishan District, New Taipei City, 243, Taiwan",New Taipei City,New Taipei City,Taishan District,新北市
90,1042,Private,技專校院,高苑科技大學,Kao Yuan University,82151,22.84109,120.26645,"No. 1821, Zhong Shan Rd., Lujhu District, Kaohsiung City, 821, Taiwan",Kaohsiung City,Kaohsiung City,Lujhu District,高雄市
91,1043,Private,技專校院,大仁科技大學,Tajen University,90741,22.72684,120.54312,"No. 20, Wei Sin Rd., Xin Er Vil., Yanpu Township, Pingtung County 907, Taiwan",Yanpu Township,Pingtung County,Xin Er Vil.,屏東縣
